V1,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 Dimensional Geometry,frac,lambda,plane,vec,sqrt,hat,line,amp,point,rightarrow,equation,lines,matrix,distance,perpendicular,alpha,therefore,angle,parallel,given,cos,theta,beta,planes,widehat,let,begin,end,direction,intersection,two,gamma,sin,delta,required,times,points,hence,none,axis,abc,passes,respectively,can,will,image,text,also,normal,three
Applications of Derivatives,frac,rightarrow,text,sqrt,sin,cos,therefore,delta,point,theta,function,tan,let,amp,curve,increasing,tangent,infty,maximum,now,value,given,alpha,hence,points,decreasing,minimum,sec,none,local,interval,statement,log,rate,normal,equation,axis,end,times,phi,area,angle,get,radius,limits,maxima,one,length,two,number
Binomial Theorem,frac,rightarrow,sqrt,sum,expansion,term,limits,coefficient,100,times,therefore,integer,terms,cdot,none,text,greatest,number,coefficients,let,get,hence,value,middle,thus,equal,even,alpha,binomial,log,independent,matrix,now,given,statement,positive,end,odd,sin,frac1,general,2017,500,remainder,cdot2,also,omega,since,begin,frac12
Complex Numbers,frac,omega,sqrt,rightarrow,theta,overline,alpha,sin,cos,text,arg,amp,complex,therefore,number,value,real,let,times,none,matrix,equation,equal,beta,given,imaginary,numbers,sqrt3,circle,tan,roots,get,root,sum,unity,100,hence,purely,find,point,now,triangle,will,cube,end,lies,begin,lambda,limits,sqrt2
Conic Sections - I,frac,circle,sqrt,rightarrow,equation,point,lambda,theta,therefore,centre,circles,radius,line,given,alpha,chord,tangents,points,hence,let,two,cos,find,sin,common,none,will,axis,tangent,passes,required,diameter,sqrt2,distance,amp,angle,statement,locus,touches,since,can,lies,beta,coordinates,drawn,equiv,get,length,origin,passing
Conic Sections - II,frac,sqrt,rightarrow,theta,equation,point,ellipse,text,hyperbola,parabola,cos,alpha,sin,therefore,tangent,let,line,tangents,given,chord,tan,amp,axis,circle,beta,points,4ax,locus,normal,hence,phi,statement,foci,length,eccentricity,area,times,none,lambda,coordinates,drawn,two,axes,contact,sec,focus,passes,2at,centre,will
Continuity and Differentiability,frac,text,limits,lim,amp,rightarrow,sin,continuous,cos,to0,function,differentiable,cases,tan,sqrt,log,end,begin,therefore,let,theta,infty,discontinuous,matrix,points,cdot,none,statement,hence,TRUE,value,one,now,integer,equal,discontinuity,get,defined,following,graph,correct,given,clearly,cot,point,thus,also,ne0,times,to2
Definite Integration,frac,int,limits,sqrt,sin,cos,rightarrow,area,text,log,infty,tan,let,function,amp,value,lim,theta,equal,therefore,101,alpha,bounded,correct,units,hence,region,cot,sqrt2,statement,iii,xdx,integral,matrix,get,100,cdot,now,axis,cosec,given,none,sqrt3,times,curve,sec,line,TRUE,begin,curves
Differential Equations,frac,equation,log,rightarrow,differential,sqrt,sin,cos,tan,given,solution,order,get,int,text,let,none,integrating,point,cdot,function,arbitrary,hence,curve,degree,equal,correct,family,therefore,2xy,can,circles,general,lambda,TRUE,following,independent,variable,alpha,constant,cosec,iii,limits,put,value,900,cot,lim,number,origin
Functions 2,frac,one,function,rightarrow,sin,cos,alpha,matrix,amp,let,text,sum,limits,therefore,onto,tan,begin,end,log,period,symmetric,infty,will,hence,sqrt,domain,relation,longrightarrow,sec,functions,transitive,graph,now,gof,TRUE,lim,defined,forall,given,periodic,can,many,reflexive,two,value,range,equal,set,cases,statement
Fundamentals of Mathematics,frac,log,sin,cos,rightarrow,sqrt,int,text,times,therefore,sec,find,tan,value,using,will,cdot,none,function,displacement,theta,maximum,hence,can,given,equal,log2,change,abc,sides,time,base,TRUE,cosec,particle,rule,since,anti,law,now,number,circ,derivative,equation,following,velocity,amp,know,seconds,statement
Indefinite Integration,frac,int,tan,sin,log,cos,sqrt,rightarrow,sec,let,theta,text,cot,alpha,equal,none,put,limits,get,therefore,sec𝜃,cdot,cos2x,value,function,integral,sqrt2,cosx,tan𝜃,cosec,now,sin2x,xdx,evaluate,lim,using,frac1x,hence,lnx,rightarrow0,2xdx,dummy,frac1,sin4x,substitution,sum,tdt,amp,can,denominator
Inequalities,frac,rightarrow,log,infty,sqrt,inequality,solution,value,given,cup,amp,none,therefore,times,positive,theta,will,hence,set,get,text,following,find,ge2,case,now,numbers,TRUE,lambda,values,real,region,number,using,alpha,line,100,can,statement,tan,also,ge0,minimum,origin,point,sides,sign,half,cases,least
Inverse Trigonometry,frac,tan,sin,cos,sqrt,rightarrow,theta,cot,value,none,text,let,beta,circ,equal,triangle,limits,therefore,angle,vec,alpha,sum,equation,one,infty,100,101,abc,hence,amp,given,times,values,correct,cosec,delta,lim,principal,sec,number,solution,answer,get,le1,frac12,statement,4xy,arctan,defined,function
Limits,frac,limits,lim,sin,sqrt,to0,infty,text,rightarrow,cos,log,to1,tan,times,value,rightarrow0,sum,equal,theta,statement,therefore,limit,mathop,form,let,alpha,100,amp,to2,find,none,function,integer,TRUE,begin,cases,end,rule,2013,exist,hence,beta,hospital,matrix,exists,now,cos2x,can,greatest,cdot
Mathematical Reasoning,sim,text,wedge,vee,statement,rightarrow,TRUE,equiv,longrightarrow,FALSE,statements,given,compound,number,will,determine,sentence,component,following,mathematical,tautology,school,negation,contrapositive,exists,inverse,truth,longleftrightarrow,used,equivalent,can,leftrightarrow,therefore,none,whether,converse,india,table,hence,numbers,two,odd,quantifier,thus,also,dual,contradiction,correct,divisible,let
Matrices and Determinants,amp,matrix,begin,end,frac,alpha,beta,rightarrow,lambda,omega,theta,text,gamma,adj,cos,sin,delta,value,given,therefore,determinant,times,order,equal,let,matrices,solution,square,abc,det,non,none,equation,elements,system,will,sqrt,two,zero,cdot,get,values,correct,equations,number,row,symmetric,hence,statement,array
Permutations and Combinations,number,frac,ways,can,times,total,two,rightarrow,one,required,therefore,letters,sum,balls,numbers,text,hence,different,none,many,three,100,thus,digit,digits,will,arranged,identical,let,least,arrangements,equal,persons,place,word,words,points,divisible,given,objects,possible,solutions,120,limits,places,remaining,statement,girls,cdot,now
Principle of Mathematical Induction,pmi,dummy,prove,inductive,numbers,reasoning,TRUE,can,defined,real,statements,used,advanced,basic,conductive,deductive,natural,none,option,theta,angles,applicable,assume,called,checking,consistency,cos,dimensional,either,equations,FALSE,first,formulated,hence,negative,non,question,rational,respectively,say,second,set,sin,step,terms,types,whole,will,yes,0
Probability,frac,probability,times,number,let,two,event,one,cap,therefore,rightarrow,text,required,events,none,100,die,random,red,independent,sum,cup,ways,can,heads,value,first,three,box,amp,numbers,balls,coin,hence,overline,cards,following,given,set,will,contains,letters,total,cdot,drawn,ball,least,distribution,exclusive,getting
Quadratic Equations,frac,alpha,rightarrow,roots,beta,equation,sqrt,real,infty,given,root,value,quadratic,let,one,number,therefore,get,sin,can,hence,none,thus,gamma,negative,two,sum,tan,will,frac12,positive,values,polynomial,since,also,lambda,geq0,text,now,product,equal,distinct,discriminant,4ac,common,lies,least,leq,solution,must
Sequence and Series,frac,rightarrow,sum,sqrt,terms,limits,term,let,therefore,numbers,first,common,text,given,alpha,find,series,times,difference,two,value,log,get,circ,none,positive,ratio,equal,statement,100,infty,number,three,arithmetic,hence,thus,ldots,now,TRUE,will,geometric,means,cdot,mean,beta,also,can,since,tan,sequence
"Sets, Relations and Functions",text,set,cap,cup,frac,given,number,elements,hence,statement,domain,rightarrow,can,infty,function,find,sets,range,subset,let,relation,element,will,times,also,singleton,people,whether,TRUE,following,numbers,option,phi,correct,defined,iii,shyam,sqrt,non,region,equal,finite,FALSE,natural,one,real,empty,two,ram,students
Statistics,frac,sum,mean,text,overline,limits,sigma,deviation,median,data,observations,100,bar,rightarrow,therefore,given,times,variance,sqrt,standard,frequency,following,frac1,distribution,class,number,observation,new,find,value,will,values,amp,deviations,times100,frac1n,thus,105,frequencies,let,mode,numbers,wages,120,set,table,two,now,range,300
Straight Lines,frac,sqrt,line,rightarrow,alpha,point,lines,theta,sin,equation,cos,amp,angle,given,triangle,circ,therefore,points,let,lambda,hence,text,coordinates,slope,find,axis,two,statement,none,distance,matrix,locus,origin,parallel,perpendicular,required,straight,tan,delta,axes,side,will,get,units,times,area,lies,passing,sqrt2,equiv
Trigonometry,frac,sin,cos,theta,tan,sqrt,alpha,rightarrow,circ,text,beta,cot,quadrant,sec,value,infty,therefore,cosec,decreases,increases,given,equation,cos2,solution,angle,iii,hence,times,none,decreasing,equal,values,phi,correct,increasing,will,gamma,angles,triangle,let,number,180,lambda,now,find,since,cdot,sin2,following,sin2x
Vector Algebra,vec,overrightarrow,hat,frac,widehat,times,sqrt,amp,alpha,rightarrow,sin,matrix,overline,cdot,beta,cos,vector,let,vectors,begin,end,omega,therefore,statement,lambda,value,theta,angle,given,text,hence,unit,none,point,now,plane,delta,gamma,three,triangle,coplanar,respectively,two,possible,area,equal,non,magnitude,TRUE,perpendicular
Showing 1 to 27 of 27 entries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,